,0,1
[9 9 0 0],-0.14237772408445287,-0.01005410184805874
[9 9 1 3],-6.265787725342196e-05,0.0
[9 9 1 2],-0.002027555959044526,0.0
[9 9 1 1],-0.023458676979507317,0.0
[9 9 1 0],-0.0762409172813516,-3.6998848503514e-05
[9 9 0 3],-7.387484719060558e-08,0.0
[9 9 0 2],-0.00011790200967279091,0.0
[9 9 0 1],-0.032809413412922483,0.0
[9 8 1 2],-4.567759074507739e-05,0.0
[9 7 1 1],-0.003783078104815073,0.0
[9 6 1 0],-0.0041224024223378945,-0.059049000000000004
[9 5 0 3],0.0,0.0
[9 4 0 2],-0.004710128697246246,0.0
[9 3 0 1],-2.100507004108708e-08,0.0
[9 2 0 0],-1.1890521744595434e-12,-0.015009463529699917
[9 1 1 3],-0.06115231764502435,0.0
[9 0 1 2],-0.04537291251191726,0.0
[9 8 0 3],0.0,0.0
[9 7 0 2],-8.335248417898089e-07,0.0
[9 6 0 1],-0.002078963614104438,0.0
[9 5 0 0],-0.002252839954493918,-0.1
[9 4 1 3],0.0,0.0
[9 3 1 2],-4.498285149870174e-06,0.0
[9 2 1 1],-0.005258402326108624,0.0
[9 1 1 0],-0.028977037432641902,-0.0003818805778053512
[9 0 0 3],-1.0507578564477207,0.0
[9 0 0 2],-1.2453057236803524,0.0
[9 0 0 1],-1.406185330197898,0.0
[9 0 0 0],-1.3424861604653235,-0.12055156498915005
[9 2 1 3],-0.03296082101482388,0.0
[9 1 1 2],-0.00010611166196302418,0.0
[9 0 1 1],-0.021454314358295323,0.0
[9 7 1 0],-0.09893576658248429,-0.00024383958195144245
[9 5 1 0],-0.08105657959049664,-0.0009472476481201923
[9 4 1 0],-0.061728238327951164,-2.3541613722204144e-07
[9 3 1 0],-0.08204465762028157,-0.006765407161443948
[9 2 0 3],-0.018531616949754758,0.0
[9 1 0 2],-2.6972160559060756e-05,0.0
[9 1 1 1],-0.026181454316816295,0.0
[9 0 1 0],-0.003130577404433362,-1.0042533527897952
[9 8 1 1],-0.0022752810596847616,0.0
[9 8 0 0],-0.008509780129870225,0.0
[9 7 1 3],0.0,0.0
[9 6 1 2],-0.047833333748378816,0.0
[9 5 1 1],-0.0002735978728433253,0.0
[9 3 0 3],-1.7696440511637504e-05,0.0
[9 2 0 2],-1.3660959010499112e-15,0.0
[9 1 0 1],-0.2390403755273418,0.0
[9 8 1 0],-0.06636835558492674,-1.0919346372035778e-09
[9 7 0 3],-0.0531441,0.0
[9 6 0 2],-0.05365947823715033,0.0
[9 5 0 1],0.0,0.0
[9 4 0 0],-0.004232556139644689,0.0
[9 3 0 0],-0.09065247991619353,-0.0071789798769185285
[9 6 0 3],-0.0387425957756487,0.0
[9 5 0 2],-0.0012832019638279158,0.0
[9 4 0 1],-0.01926517427091934,0.0
[9 2 1 0],-0.09910611517126121,-0.00014555783429311578
[9 1 0 3],-2.9003311457937334e-14,0.0
[9 1 0 0],-0.21546029659628962,-3.41249587210346e-24
[9 4 0 3],-4.048376602284328e-06,0.0
[9 3 0 2],-0.0004652866843809263,0.0
[9 2 0 1],-5.39387399113256e-13,0.0
[9 0 1 3],-0.03486784401,0.0
[9 8 0 2],0.0,0.0
[9 7 0 1],-0.0004808312711373815,0.0
[9 6 0 0],-0.0021531044970378647,-0.06561
[9 5 1 3],-4.921998787153954e-07,0.0
[9 4 1 2],-0.0005726418086193114,0.0
[9 3 1 1],-0.004069625342455016,0.0
[9 8 1 3],0.0,0.0
[9 7 1 2],-0.072900000001766,0.0
[9 6 1 1],-0.0038473907504284707,0.0
[9 3 1 3],-2.775743477192547e-10,0.0
[9 2 1 2],-0.022358310700318268,0.0
[9 7 0 0],-0.1,-2.6972160559060756e-05
[9 5 1 2],-0.022876792468136897,0.0
[9 4 1 1],-0.10488899263730252,0.0
[9 8 0 1],-0.003642435023434182,0.0
[9 6 1 3],-5.802988355301066e-10,0.0
